# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
1626642509	78996	34.101925	-5.257604
1626734167	78849	33.921657	-5.437872
1626825828	79025	34.137488	-5.222041
1626917489	79086	34.212293	-5.147236
1627009148	78932	34.023441	-5.336088
1627100806	78873	33.951088	-5.408440
1627284124	79002	34.109283	-5.250246
1627375784	79145	34.284646	-5.074883
1627467443	78967	34.066362	-5.293167
1627559105	78778	33.834589	-5.524940
1627650764	78690	33.726673	-5.632856
1627742423	78709	33.749973	-5.609556
1627834086	78557	33.563574	-5.795955
1627925745	78606	33.623663	-5.735866
1628109065	78927	34.017309	-5.342219
1628200726	78804	33.866473	-5.493056
1628292385	78589	33.602816	-5.756713
1628384048	78474	33.461790	-5.897739
1628475704	78560	33.567252	-5.792276
1628567364	78639	33.664131	-5.695398
1628659028	78662	33.692336	-5.667192
1628750685	78490	33.481411	-5.878118
1628842344	78500	33.493674	-5.865855
1629025666	78641	33.666584	-5.692945
1629117327	78581	33.593005	-5.766524
1629208988	78370	33.334253	-6.025276
1629300647	78304	33.253316	-6.106212
1629392308	78339	33.296237	-6.063291
1629483970	78277	33.220206	-6.139323
1629575629	78341	33.298690	-6.060839
1629667290	78462	33.447074	-5.912455
1629758949	78588	33.601589	-5.757939
1629850608	78749	33.799026	-5.560503
1629942267	78856	33.930241	-5.429288
1630033930	79064	34.185314	-5.174215
1630125589	79054	34.173051	-5.186478
1630217250	79112	34.244177	-5.115352
1630308907	79105	34.235593	-5.123936
1630400566	79073	34.196351	-5.163178
1630492225	79093	34.220877	-5.138651
1630583884	79075	34.198804	-5.160725
1630767194	79473	34.686876	-4.672653
1630858850	79547	34.777623	-4.581905
1630950507	79358	34.545850	-4.813679
1631042164	79305	34.480856	-4.878673
1631133821	79357	34.544624	-4.814905
1631225480	79339	34.522550	-4.836979
1631317139	79384	34.577734	-4.781794
1631408796	79361	34.549529	-4.810000
1631500453	79255	34.419540	-4.939989
1631592112	79355	34.542171	-4.817358
1631683769	79538	34.766586	-4.592942
1631775428	79352	34.538492	-4.821036
1631867085	79288	34.460008	-4.899520
1631958742	79436	34.641503	-4.718026
1632050398	79546	34.776397	-4.583132
1632142055	79604	34.847523	-4.512006
1632233712	79676	34.935818	-4.423711
1632325369	79786	35.070712	-4.288817
1632508682	79896	35.205607	-4.153922
1632600338	79955	35.277959	-4.081570
1632691993	79828	35.122217	-4.237312
1632783648	79621	34.868370	-4.491158
1632875303	79566	34.800923	-4.558605
1632966960	79690	34.952986	-4.406543
1633058611	79800	35.087880	-4.271648
1633150266	79812	35.102596	-4.256933
1633333576	79856	35.156554	-4.202975
1633425231	80025	35.363801	-3.995728
1633516889	80161	35.530579	-3.828949
1633608541	80278	35.674058	-3.685471
1633700198	80424	35.853100	-3.506429
1633791853	80521	35.972052	-3.387477
1633883513	80746	36.247972	-3.111556
1633975170	81023	36.587661	-2.771868
1634066826	81253	36.869713	-2.489816
1634250139	81551	37.235154	-2.124374
1634341795	81746	37.474285	-1.885243
1634433450	81679	37.392122	-1.967406
1634525106	81613	37.311186	-2.048343
1634616762	81604	37.300149	-2.059380
1634708416	81719	37.441175	-1.918354
1634800073	81769	37.502491	-1.857038
1634891728	81789	37.527017	-1.832512
1635075046	82067	37.867932	-1.491597
1635166697	82250	38.092347	-1.267182
1635258350	82390	38.264031	-1.095498
1635350008	82398	38.273841	-1.085687
1635441660	82191	38.019995	-1.339534
1635533315	82459	38.348646	-1.010882
1635624972	82474	38.367041	-0.992488
1635716627	82330	38.190452	-1.169077
1635808284	82492	38.389115	-0.970414
1635991598	82737	38.689561	-0.669967
1636083253	82730	38.680977	-0.678551
1636174909	82639	38.569383	-0.790146
1636266562	82630	38.558346	-0.801183
1636358218	82684	38.624567	-0.734962
1636449873	82791	38.755782	-0.603746
1636541528	82905	38.895582	-0.463947
1636633185	83095	39.128581	-0.230947
1636724842	83192	39.247534	-0.111995
1636816497	83248	39.316207	-0.043321
1636908152	83434	39.544302	0.184773
1636999805	83455	39.570054	0.210525
1637091462	83336	39.424123	0.064594
1637183117	83497	39.621559	0.262031
1637274774	83636	39.792017	0.432488
1637366429	83708	39.880311	0.520783
1637458087	83838	40.039732	0.680203
1637549743	83979	40.212642	0.853113
1637641400	84118	40.383100	1.023571
1637733057	84144	40.414984	1.055455
1637824714	84228	40.517994	1.158465
1637916371	84355	40.673736	1.314207
1638008034	84457	40.798820	1.439291
1638099686	84538	40.898151	1.538622
1638191342	84642	41.025688	1.666159
1638282999	84715	41.115208	1.755680
