collect_time raw_value value tare_value
0	78996	34.101925	-5.257604
91658	78849	33.921657	-5.437872
183319	79025	34.137488	-5.222041
274980	79086	34.212293	-5.147236
366639	78932	34.023441	-5.336088
458297	78873	33.951088	-5.408440
641615	79002	34.109283	-5.250246
733275	79145	34.284646	-5.074883
824934	78967	34.066362	-5.293167
916596	78778	33.834589	-5.524940
1008255	78690	33.726673	-5.632856
1099914	78709	33.749973	-5.609556
1191577	78557	33.563574	-5.795955
1283236	78606	33.623663	-5.735866
1466556	78927	34.017309	-5.342219
1558217	78804	33.866473	-5.493056
1649876	78589	33.602816	-5.756713
1741539	78474	33.461790	-5.897739
1833195	78560	33.567252	-5.792276
1924855	78639	33.664131	-5.695398
2016519	78662	33.692336	-5.667192
2108176	78490	33.481411	-5.878118
2199835	78500	33.493674	-5.865855
2383157	78641	33.666584	-5.692945
2474818	78581	33.593005	-5.766524
2566479	78370	33.334253	-6.025276
2658138	78304	33.253316	-6.106212
2749799	78339	33.296237	-6.063291
2841461	78277	33.220206	-6.139323
2933120	78341	33.298690	-6.060839
3024781	78462	33.447074	-5.912455
3116440	78588	33.601589	-5.757939
3208099	78749	33.799026	-5.560503
3299758	78856	33.930241	-5.429288
3391421	79064	34.185314	-5.174215
3483080	79054	34.173051	-5.186478
3574741	79112	34.244177	-5.115352
3666398	79105	34.235593	-5.123936
3758057	79073	34.196351	-5.163178
3849716	79093	34.220877	-5.138651
3941375	79075	34.198804	-5.160725
4124685	79473	34.686876	-4.672653
4216341	79547	34.777623	-4.581905
4307998	79358	34.545850	-4.813679
4399655	79305	34.480856	-4.878673
4491312	79357	34.544624	-4.814905
4582971	79339	34.522550	-4.836979
4674630	79384	34.577734	-4.781794
4766287	79361	34.549529	-4.810000
4857944	79255	34.419540	-4.939989
4949603	79355	34.542171	-4.817358
5041260	79538	34.766586	-4.592942
5132919	79352	34.538492	-4.821036
5224576	79288	34.460008	-4.899520
5316233	79436	34.641503	-4.718026
5407889	79546	34.776397	-4.583132
5499546	79604	34.847523	-4.512006
5591203	79676	34.935818	-4.423711
5682860	79786	35.070712	-4.288817
5866173	79896	35.205607	-4.153922
5957829	79955	35.277959	-4.081570
6049484	79828	35.122217	-4.237312
6141139	79621	34.868370	-4.491158
6232794	79566	34.800923	-4.558605
6324451	79690	34.952986	-4.406543
6416102	79800	35.087880	-4.271648
6507757	79812	35.102596	-4.256933
6691067	79856	35.156554	-4.202975
6782722	80025	35.363801	-3.995728
6874380	80161	35.530579	-3.828949
6966032	80278	35.674058	-3.685471
7057689	80424	35.853100	-3.506429
7149344	80521	35.972052	-3.387477
7241004	80746	36.247972	-3.111556
7332661	81023	36.587661	-2.771868
7424317	81253	36.869713	-2.489816
7607630	81551	37.235154	-2.124374
7699286	81746	37.474285	-1.885243
7790941	81679	37.392122	-1.967406
7882597	81613	37.311186	-2.048343
7974253	81604	37.300149	-2.059380
8065907	81719	37.441175	-1.918354
8157564	81769	37.502491	-1.857038
8249219	81789	37.527017	-1.832512
8432537	82067	37.867932	-1.491597
8524188	82250	38.092347	-1.267182
8615841	82390	38.264031	-1.095498
8707499	82398	38.273841	-1.085687
8799151	82191	38.019995	-1.339534
8890806	82459	38.348646	-1.010882
8982463	82474	38.367041	-0.992488
9074118	82330	38.190452	-1.169077
9165775	82492	38.389115	-0.970414
9349089	82737	38.689561	-0.669967
9440744	82730	38.680977	-0.678551
9532400	82639	38.569383	-0.790146
9624053	82630	38.558346	-0.801183
9715709	82684	38.624567	-0.734962
9807364	82791	38.755782	-0.603746
9899019	82905	38.895582	-0.463947
9990676	83095	39.128581	-0.230947
10082333	83192	39.247534	-0.111995
10173988	83248	39.316207	-0.043321
10265643	83434	39.544302	0.184773
10357296	83455	39.570054	0.210525
10448953	83336	39.424123	0.064594
10540608	83497	39.621559	0.262031
10632265	83636	39.792017	0.432488
10723920	83708	39.880311	0.520783
10815578	83838	40.039732	0.680203
10907234	83979	40.212642	0.853113
10998891	84118	40.383100	1.023571
11090548	84144	40.414984	1.055455
11182205	84228	40.517994	1.158465
11273862	84355	40.673736	1.314207
11365525	84457	40.798820	1.439291
11457177	84538	40.898151	1.538622
11548833	84642	41.025688	1.666159
11640490	84715	41.115208	1.755680
11732147	84788	41.204729	1.845200
11823803	84774	41.187561	1.828032
12007113	85062	41.540739	2.181210
12098771	85067	41.546871	2.187342
12190427	85396	41.950327	2.590799
12282080	85987	42.675078	3.315550
12373737	86189	42.922794	3.563265
12465394	86379	43.155793	3.796264
12557053	86451	43.244088	3.884559
12648708	86454	43.247767	3.888238
12832023	86480	43.279651	3.920122
12923679	86565	43.383887	4.024359
13015334	86528	43.338514	3.978985
13106989	86338	43.105514	3.745985
13198646	86025	42.721678	3.362150
13290303	85950	42.629705	3.270176
13381958	85799	42.444532	3.085003
13473615	85902	42.570842	3.211313
13748582	86228	42.970620	3.611091
13840239	86487	43.288235	3.928706
13931894	86546	43.360587	4.001059
14023553	86700	43.549439	4.189911
14115209	86844	43.726029	4.366500
14206865	86682	43.527366	4.167837
14298524	86433	43.222014	3.862485
14390179	86403	43.185225	3.825696
14573488	86165	42.893362	3.533833
14665147	86336	43.103062	3.743533
14756800	86908	43.804513	4.444984
14848455	87347	44.342864	4.983335
14940110	87303	44.288906	4.929377
15031767	87230	44.199385	4.839857
15123422	87311	44.298717	4.939188
15215077	87217	44.183443	4.823915
15490054	85878	42.541410	3.181882
15581713	85824	42.475189	3.115661
15673368	85800	42.445758	3.086229
15765025	86097	42.809973	3.450444
15856678	86795	43.665939	4.306410
