# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
1310337978	81528	37.206949	1.853967
1310429629	81619	37.318544	1.965562
1310521282	80811	36.327683	0.974701
1310612936	80226	35.610290	0.257308
1310704591	80029	35.368706	0.015724
1310796246	80467	35.905831	0.552849
1311162855	80505	35.952431	0.599449
1311254508	80771	36.278630	0.925648
1311346160	80236	35.622553	0.269571
1311437813	79622	34.869597	-0.483385
1311529466	79601	34.843844	-0.509138
1311621118	79800	35.087880	-0.265102
1311712768	79777	35.059675	-0.293307
1312079382	81014	36.576624	1.223642
1312171040	80445	35.878852	0.525870
1312262685	79611	34.856107	-0.496875
1312354338	79362	34.550755	-0.802227
1312445990	79591	34.831581	-0.521401
1312537644	79575	34.811960	-0.541022
1312904256	79701	34.966475	-0.386507
1312995906	79636	34.886765	-0.466217
1313087559	79291	34.463687	-0.889295
1313179210	78767	33.821099	-1.531883
1313270858	78346	33.304822	-2.048161
1313362512	78335	33.291332	-2.061650
1313729127	79007	34.115414	-1.237568
1313820780	78800	33.861568	-1.491414
1313912432	78555	33.561121	-1.791861
1314004083	78685	33.720542	-1.632440
1314095736	78817	33.882415	-1.470567
1314187390	78989	34.093341	-1.259641
1314279046	79109	34.240498	-1.112484
1314645655	79133	34.269930	-1.083052
1314737309	78900	33.984199	-1.368783
1314828962	78568	33.577063	-1.775919
1314920612	78500	33.493674	-1.859308
1315012265	78412	33.385758	-1.967224
1315103918	78434	33.412737	-1.940245
1315195572	78396	33.366137	-1.986845
1315562180	80115	35.474169	0.121187
1315653831	80279	35.675284	0.322302
1315745485	80174	35.546521	0.193539
1315837140	79841	35.138159	-0.214823
1315928792	79404	34.602261	-0.750722
1316020445	79291	34.463687	-0.889295
1316387061	79779	35.062128	-0.290854
1316478715	79783	35.067033	-0.285949
1316570370	79289	34.461235	-0.891747
1316662028	78866	33.942504	-1.410478
1316753676	78626	33.648189	-1.704793
1316845331	78607	33.624889	-1.728093
1316936986	79062	34.182862	-1.170121
1317303610	79783	35.067033	-0.285949
1317395262	79983	35.312296	-0.040686
1317486916	79184	34.332472	-1.020510
1317578571	78675	33.708278	-1.644704
1317670225	78987	34.090888	-1.262094
1317761880	78927	34.017309	-1.335673
1317853534	78563	33.570931	-1.782051
1318128502	79025	34.137488	-1.215494
1318220156	79184	34.332472	-1.020510
1318311814	78954	34.050420	-1.302562
1318403469	78598	33.613852	-1.739130
1318495125	78464	33.449526	-1.903456
1318586780	78403	33.374721	-1.978261
1318678436	78699	33.737710	-1.615272
1319045058	79403	34.601034	-0.751948
