# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
958151430	84174	40.451773	-1.823527
958243076	84556	40.920225	-1.355076
958334709	84872	41.307740	-0.967561
958792892	85533	42.118332	-0.156968
958884529	85475	42.047206	-0.228094
958976167	84551	40.914093	-1.361207
959067804	83792	39.983322	-2.291979
959159440	84061	40.313200	-1.962101
959251077	84398	40.726467	-1.548833
959342713	84581	40.950882	-1.324418
959617627	86082	42.791578	0.516278
959709265	86432	43.220788	0.945487
959800904	85347	41.890238	-0.385062
959892543	84250	40.544973	-1.730328
959984179	83815	40.011527	-2.263774
960075818	83720	39.895027	-2.380273
960534015	86047	42.748657	0.473357
960625647	86119	42.836952	0.561651
960717285	85434	41.996927	-0.278373
960808924	84757	41.166714	-1.108587
960900562	84306	40.613646	-1.661654
960992199	83848	40.051995	-2.223305
961358757	84919	41.365376	-0.909924
961450393	85312	41.847317	-0.427983
961542034	84928	41.376413	-0.898887
961633666	84535	40.894472	-1.380828
961725301	84462	40.804951	-1.470349
961816939	84437	40.774293	-1.501007
962275130	84155	40.428473	-1.846827
962366767	84621	40.999935	-1.275365
962458405	84482	40.829477	-1.445823
962550045	84393	40.720336	-1.554965
962641686	84608	40.983993	-1.291307
962733324	84843	41.272176	-1.003124
963099878	84712	41.111529	-1.163771
963191514	84748	41.155677	-1.119624
963283151	84221	40.509410	-1.765891
963374790	84035	40.281316	-1.993985
963466430	84385	40.710525	-1.564775
963558066	84576	40.944751	-1.330549
963649703	84764	41.175298	-1.100003
964016256	85365	41.912312	-0.362989
964107891	85737	42.368500	0.093200
964199530	84512	40.866267	-1.409034
964291167	84051	40.300937	-1.974364
964382807	84405	40.735051	-1.540249
964474443	84909	41.353113	-0.922187
964566084	85288	41.817886	-0.457415
964840995	86014	42.708189	0.432888
964932629	86147	42.871288	0.595988
965024268	85096	41.582434	-0.692867
965115908	84440	40.777972	-1.497328
965207545	84015	40.256789	-2.018511
965299181	83992	40.228584	-2.046716
965390818	84492	40.841741	-1.433560
965482454	85014	41.481876	-0.793424
965757363	86543	43.356908	1.081608
965849006	86171	42.900720	0.625420
965940638	85200	41.709970	-0.565330
966032275	84331	40.644304	-1.630996
966123913	83886	40.098595	-2.176705
966215550	83716	39.890122	-2.385179
966582103	85734	42.364821	0.089521
966673740	86074	42.781768	0.506467
966765378	85527	42.110974	-0.164326
966857020	85134	41.629033	-0.646267
966948653	84812	41.234161	-1.041140
967040291	84128	40.395363	-1.879938
967131930	83647	39.805506	-2.469794
967498479	85973	42.657910	0.382610
967590116	86705	43.555571	1.280271
967681751	86080	42.789125	0.513825
967773388	85586	42.183327	-0.091973
967865030	85510	42.090127	-0.185173
967956661	84979	41.438955	-0.836345
968323213	85239	41.757796	-0.517504
968414849	85833	42.486226	0.210926
968506488	85742	42.374632	0.099331
968598126	85521	42.103617	-0.171684
968689765	85582	42.178422	-0.096879
968781399	85563	42.155122	-0.120179
968873037	85247	41.767607	-0.507694
969239587	84956	41.410750	-0.864551
969422862	85349	41.892691	-0.382610
969514498	85109	41.598376	-0.676925
969606136	85248	41.768833	-0.506467
969697773	85305	41.838733	-0.436567
970064324	84724	41.126245	-1.149055
970155962	85376	41.925801	-0.349499
970247599	85006	41.472065	-0.803235
970339239	84912	41.356792	-0.918508
970430880	85222	41.736949	-0.538351
970522519	85417	41.976080	-0.299220
970614158	85572	42.166159	-0.109142
970980719	85386	41.938064	-0.337236
971072358	85982	42.668947	0.393646
971163996	85459	42.027585	-0.247715
971255635	85220	41.734496	-0.540804
971347275	85463	42.032490	-0.242810
971438913	85535	42.120785	-0.154515
971530552	85519	42.101164	-0.174136
971805471	85711	42.336616	0.061316
971897105	85378	41.928254	-0.347047
971988744	84350	40.667604	-1.607696
972080382	84308	40.616099	-1.659201
972172026	84743	41.149545	-1.125755
972263663	85048	41.523571	-0.751730
972355301	85372	41.920896	-0.354404
972721862	86663	43.504066	1.228766
972813500	85844	42.499716	0.224415
972905139	84662	41.050214	-1.225087
972996779	84017	40.259242	-2.016058
973088417	83817	40.013979	-2.261321
973180058	84214	40.500826	-1.774475
973546617	85690	42.310863	0.035563
973638257	86202	42.938736	0.663435
973729897	85467	42.037396	-0.237905
973821538	84540	40.900604	-1.374697
973913176	84105	40.367158	-1.908143
974004816	83794	39.985774	-2.289526
974096456	83812	40.007848	-2.267453
974463018	85685	42.304732	0.029432
974554654	86011	42.704510	0.429210
974646293	85514	42.095032	-0.180268
974737931	85075	41.556681	-0.718619
975012855	83775	39.962474	-2.312826
975287775	85351	41.895143	-0.380157
975379414	85882	42.546316	0.271015
975471054	85423	41.983438	-0.291862
975562693	85242	41.761475	-0.513825
975654334	85262	41.786002	-0.489299
975745974	85195	41.703839	-0.571462
975837614	84877	41.313871	-0.961429
976204177	84942	41.393581	-0.881719
976295813	85463	42.032490	-0.242810
976387454	85099	41.586113	-0.689188
976479090	84857	41.289345	-0.985956
976570728	85061	41.539513	-0.735788
976662368	85087	41.571397	-0.703904
976754010	85065	41.544418	-0.730882
977028926	84006	40.245753	-2.029548
977120566	83904	40.120669	-2.154632
977212206	84055	40.305842	-1.969459
977303846	84414	40.746088	-1.529212
977395485	84761	41.171619	-1.103682
977487127	84965	41.421787	-0.853514
977578767	85101	41.588565	-0.686735
977670408	85403	41.958912	-0.316389
977945330	85314	41.849770	-0.425531
978036970	85031	41.502723	-0.772577
978128610	84166	40.441963	-1.833338
978220251	83766	39.951437	-2.323863
978311889	84248	40.542520	-1.732780
978403527	84605	40.980314	-1.294986
978495167	84828	41.253782	-1.021519
978770088	85601	42.201722	-0.073579
978861726	85745	42.378311	0.103010
978953364	85277	41.804396	-0.470904
979045006	84424	40.758351	-1.516949
979136641	83873	40.082653	-2.192647
979228279	83547	39.682875	-2.592425
979319919	83900	40.115763	-2.159537
979411560	84475	40.820893	-1.454407
979686479	85722	42.350105	0.074805
979778119	85971	42.655457	0.380157
979869759	85566	42.158801	-0.116500
979961400	85171	41.674407	-0.600893
980053043	84691	41.085777	-1.189524
980144681	84154	40.427247	-1.848054
980236322	83767	39.952664	-2.322637
980511241	85385	41.936838	-0.338462
980602882	85588	42.185780	-0.089521
980694522	85339	41.880428	-0.394873
980786161	85229	41.745533	-0.529767
980877799	85231	41.747986	-0.527315
980969441	85353	41.897596	-0.377704
981061083	85257	41.779870	-0.495430
981152724	84696	41.091908	-1.183392
981427646	84363	40.683546	-1.591754
981519286	84837	41.264819	-1.010482
981610929	84939	41.389902	-0.885398
981702571	85022	41.491686	-0.783614
981794214	85212	41.724686	-0.550614
981885855	85336	41.876749	-0.398552
981977497	85336	41.876749	-0.398552
982069139	85111	41.600828	-0.674472
982344064	84399	40.727693	-1.547607
982435706	84756	41.165487	-1.109813
982527346	84888	41.327361	-0.947940
982618985	84988	41.449992	-0.825309
982710626	85340	41.881654	-0.393646
982802267	85572	42.166159	-0.109142
983168832	84912	41.356792	-0.918508
983260472	84744	41.150771	-1.124529
983352116	84213	40.499599	-1.775701
983443756	84074	40.329142	-1.946159
983535398	84432	40.768162	-1.507139
983627040	84892	41.332266	-0.943035
983718679	85090	41.575076	-0.700225
983993607	85461	42.030038	-0.245263
984085251	85536	42.122011	-0.153289
984176893	84985	41.446313	-0.828988
984268535	84207	40.492241	-1.783059
984360178	83817	40.013979	-2.261321
984451818	83988	40.223679	-2.051621
984543457	84299	40.605062	-1.670238
984635100	84626	41.006067	-1.269234
984726742	84865	41.299155	-0.976145
984910028	85205	41.716102	-0.559199
985001664	85550	42.139180	-0.136121
985093304	85356	41.901275	-0.374025
985184943	84743	41.149545	-1.125755
985276585	84205	40.489789	-1.785512
985368229	83898	40.113311	-2.161990
985459869	84092	40.351215	-1.924085
985551509	84477	40.823346	-1.451954
985826438	85495	42.071732	-0.203568
985918080	86034	42.732715	0.457415
986009722	85696	42.318221	0.042921
986101362	85085	41.568944	-0.706356
986193018	84793	41.210861	-1.064440
986284642	84324	40.635720	-1.639580
986651207	84501	40.852777	-1.422523
986742847	84829	41.255008	-1.020292
986834489	84430	40.765709	-1.509591
986926131	84263	40.560915	-1.714385
987017771	84428	40.763257	-1.512044
987109409	84536	40.895698	-1.379602
987201051	84558	40.922677	-1.352623
987567614	85545	42.133048	-0.142252
987659254	85294	41.825244	-0.450057
987750898	84363	40.683546	-1.591754
987842539	83695	39.864369	-2.410931
987934178	83921	40.141516	-2.133784
988025821	84400	40.728920	-1.546381
988117462	84802	41.221898	-1.053403
988392383	85696	42.318221	0.042921
988484026	86018	42.713094	0.437794
988575661	85180	41.685444	-0.589857
988667301	84417	40.749767	-1.525533
988758939	84094	40.353668	-1.921632
988850577	84039	40.286221	-1.989080
988942217	84627	41.007293	-1.268008
989308786	86071	42.778089	0.502788
989400424	86118	42.835725	0.560425
989492064	85576	42.171064	-0.104237
989583704	84903	41.345755	-0.929545
989675344	84409	40.739957	-1.535344
989766984	84007	40.246979	-2.028322
989858624	84033	40.278863	-1.996437
990133548	85577	42.172290	-0.103010
990225188	85742	42.374632	0.099331
990316828	85548	42.136727	-0.138573
990408470	85307	41.841186	-0.434115
990500112	85187	41.694028	-0.581272
990591754	85002	41.467160	-0.808140
990683392	84562	40.927583	-1.347718
990775038	84103	40.364705	-1.910595
991049963	85386	41.938064	-0.337236
991141606	86275	43.028257	0.752956
991233248	85850	42.507074	0.231773
991324889	85450	42.016548	-0.258752
991416531	85439	42.003059	-0.272241
991508171	85284	41.812980	-0.462320
991599813	84907	41.350660	-0.924640
991874737	84410	40.741183	-1.534117
991966377	85177	41.681765	-0.593535
992058039	85143	41.640070	-0.635230
992149657	84932	41.381318	-0.893982
992241297	85096	41.582434	-0.692867
992332937	85157	41.657239	-0.618062
992424577	85197	41.706291	-0.569009
992791138	83892	40.105953	-2.169348
992882778	84415	40.747315	-1.527986
992974420	84626	41.006067	-1.269234
993066062	84620	40.998709	-1.276592
993157702	84713	41.112756	-1.162545
993249344	84820	41.243971	-1.031329
993340984	84889	41.328587	-0.946714
993432624	84936	41.386224	-0.889077
993615906	84509	40.862588	-1.412712
993707546	84254	40.549878	-1.725422
993799186	83730	39.907290	-2.368010
993890826	83621	39.773622	-2.501678
993982464	83977	40.210189	-2.065111
994074104	84465	40.808630	-1.466670
994165746	84836	41.263592	-1.011708
994532317	85517	42.098711	-0.176589
994623956	85192	41.700160	-0.575141
994715596	84336	40.650436	-1.624865
994807238	83636	39.792017	-2.483284
994898881	83790	39.980869	-2.294431
994990522	84299	40.605062	-1.670238
995357092	85390	41.942970	-0.332331
995448734	85759	42.395479	0.120179
