# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
2385459074	63461	15.051154	0.059178
2385550699	63415	14.994744	0.002768
2385642327	63337	14.899091	-0.092884
2385733957	63348	14.912581	-0.079395
2385825587	63383	14.955502	-0.036474
2385917216	63330	14.890507	-0.101469
2386283731	63431	15.014365	0.022389
2386375359	63280	14.829191	-0.162784
2386466988	63251	14.793628	-0.198347
2386558617	63348	14.912581	-0.079395
2386650243	63336	14.897865	-0.094111
2386741870	63304	14.858623	-0.133353
2386833498	63284	14.834097	-0.157879
2387200016	63223	14.759292	-0.232684
2387291642	63208	14.740897	-0.251079
2387383270	63230	14.767876	-0.224100
2387474897	63287	14.837776	-0.154200
2387566527	63334	14.895412	-0.096563
2387658154	63336	14.897865	-0.094111
2387749783	63292	14.843907	-0.148069
2388024675	63230	14.767876	-0.224100
2388116300	63183	14.710239	-0.281737
2388207925	63286	14.836549	-0.155426
2388299555	63319	14.877018	-0.114958
2388391182	63320	14.878244	-0.113732
2388482809	63298	14.851265	-0.140711
2388574435	63292	14.843907	-0.148069
2388940949	63290	14.841454	-0.150521
2389032577	63199	14.729860	-0.262116
2389124203	63330	14.890507	-0.101469
2389215827	63349	14.913807	-0.078169
2389307455	63305	14.859849	-0.132126
2389399082	63230	14.767876	-0.224100
2389490711	63226	14.762970	-0.229005
2389765597	63240	14.780139	-0.211837
2389857226	63216	14.750707	-0.241268
2389948854	63289	14.840228	-0.151747
2390040483	63342	14.905223	-0.086753
2390132114	63355	14.921165	-0.070811
2390223741	63375	14.945691	-0.046285
2390773509	63225	14.761744	-0.230231
2390865138	63247	14.788723	-0.203253
2390956765	63271	14.818155	-0.173821
2391048391	63264	14.809570	-0.182405
2391140024	63324	14.883149	-0.108827
2391231649	63349	14.913807	-0.078169
2391506533	63244	14.785044	-0.206932
2391598162	63137	14.653829	-0.338147
2391689791	63170	14.694297	-0.297679
2391781420	63241	14.781365	-0.210610
2391873048	63265	14.810797	-0.181179
2391964673	63234	14.772781	-0.219195
2392056300	63195	14.724955	-0.267021
2392422809	63256	14.799760	-0.192216
2392514438	63218	14.753160	-0.238816
2392606063	63276	14.824286	-0.167690
2392697690	63287	14.837776	-0.154200
