# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
3383520171	60386	11.280242	-3.711734
3383611808	60419	11.320710	-3.671265
3383703444	60507	11.428626	-3.563350
3383795078	60557	11.489941	-3.502034
3383886714	60584	11.523052	-3.468924
3383978350	60567	11.502204	-3.489771
3384069986	60613	11.558615	-3.433361
3384344898	60449	11.357500	-3.634476
3384436535	60397	11.293731	-3.698244
3384528172	60513	11.435984	-3.555992
3384619810	60574	11.510789	-3.481187
3384711449	60564	11.498526	-3.493450
3384803085	60533	11.460510	-3.531466
3384894724	60518	11.442115	-3.549861
3384986359	60556	11.488715	-3.503261
3385169636	60427	11.330521	-3.661455
3385261273	60450	11.358726	-3.633250
3385352911	60503	11.423720	-3.568255
3385444551	60571	11.507110	-3.484866
3385536189	60597	11.538994	-3.452982
3385627829	60597	11.538994	-3.452982
3385719467	60585	11.524278	-3.467698
3385811103	60620	11.567199	-3.424777
3386086023	60564	11.498526	-3.493450
3386177661	60439	11.345236	-3.646739
3386269299	60566	11.500978	-3.490997
3386360938	60654	11.608894	-3.383082
3386452575	60660	11.616252	-3.375724
3386544212	60656	11.611346	-3.380629
3386635848	60618	11.564746	-3.427229
3386727484	60602	11.545125	-3.446850
3386819121	60527	11.453152	-3.538824
3386910756	60533	11.460510	-3.531466
3387002390	60571	11.507110	-3.484866
3387094032	60580	11.518147	-3.473829
3387185663	60540	11.469094	-3.522882
3387277300	60607	11.551257	-3.440719
3387368938	60651	11.605215	-3.386761
3387460572	60675	11.634646	-3.357329
3387552207	60709	11.676341	-3.315635
3387643836	60733	11.705772	-3.286203
3387827098	60509	11.431078	-3.560897
3387918724	60481	11.396742	-3.595234
3388010353	60547	11.477678	-3.514297
3388101983	60631	11.580688	-3.411287
3388193614	60649	11.602762	-3.389214
3388285244	60704	11.670209	-3.321766
3388376873	60701	11.666530	-3.325445
3388468503	60714	11.682472	-3.309503
3388560134	60715	11.683699	-3.308277
3388651763	60665	11.622383	-3.369593
3388743391	60622	11.569652	-3.422324
3388835043	60702	11.667757	-3.324219
3388926649	60609	11.553710	-3.438266
3389018279	60578	11.515694	-3.476282
3389109907	60627	11.575783	-3.416192
3389201540	60636	11.586820	-3.405156
3389293168	60630	11.579462	-3.412513
