# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
99362586	99040	58.682141	58.682141
99454221	99397	59.119934	59.119934
99637496	99992	59.849591	59.849591
99729132	100379	60.324174	60.324174
99820770	100206	60.112022	60.112022
99912406	99841	59.664417	59.664417
100004047	100432	60.389168	60.389168
100095680	100627	60.628299	60.628299
100187314	100097	59.978353	59.978353
100553868	100128	60.016369	60.016369
100645508	100023	59.887606	59.887606
100737143	100112	59.996748	59.996748
100828782	100761	60.792625	60.792625
100920420	100625	60.625847	60.625847
101012058	100122	60.009011	60.009011
101103691	100390	60.337663	60.337663
101378594	98947	58.568094	58.568094
101470227	99372	59.089277	59.089277
101561862	100433	60.390395	60.390395
101653494	99238	58.924951	58.924951
101745129	98625	58.173221	58.173221
101836766	98498	58.017479	58.017479
101928399	98328	57.809006	57.809006
102294934	98873	58.477346	58.477346
102386564	99055	58.700535	58.700535
102478195	97738	57.085481	57.085481
102569824	96925	56.088489	56.088489
102661458	96899	56.056605	56.056605
102753094	96732	55.851811	55.851811
102844727	96720	55.837095	55.837095
103119628	98055	57.474222	57.474222
103302886	97960	57.357723	57.357723
103577784	98504	58.024837	58.024837
103669417	98775	58.357168	58.357168
104035945	101119	61.231645	61.231645
104127578	101728	61.978470	61.978470
104219208	100417	60.370774	60.370774
104310839	99710	59.503770	59.503770
104402470	99920	59.761296	59.761296
104494102	100787	60.824509	60.824509
104585736	101470	61.662081	61.662081
104860632	102898	63.413256	63.413256
105043896	101075	61.177687	61.177687
105135526	100429	60.385489	60.385489
105227155	102065	62.391737	62.391737
105318786	102499	62.923957	62.923957
105410418	101197	61.327298	61.327298
105776940	101781	62.043464	62.043464
105868569	102541	62.975462	62.975462
105960200	101574	61.789618	61.789618
106051832	101669	61.906117	61.906117
106143462	101988	62.297311	62.297311
106235090	100436	60.394073	60.394073
106601610	101429	61.611802	61.611802
106693239	100251	60.167206	60.167206
106784867	98916	58.530078	58.530078
106876495	98899	58.509231	58.509231
106968122	98246	57.708448	57.708448
107059748	98616	58.162184	58.162184
107151377	97923	57.312349	57.312349
107517894	98385	57.878906	57.878906
107609524	99069	58.717704	58.717704
107701152	98992	58.623278	58.623278
107792780	98693	58.256610	58.256610
107884407	98667	58.224726	58.224726
107976038	98691	58.254157	58.254157
108067666	98890	58.498194	58.498194
108159297	99279	58.975229	58.975229
108342556	99710	59.503770	59.503770
108434184	100172	60.070327	60.070327
108525815	99843	59.666870	59.666870
108617443	99806	59.621496	59.621496
108709068	101687	61.928191	61.928191
108800694	102021	62.337779	62.337779
108892321	101145	61.263529	61.263529
108983946	101099	61.207119	61.207119
109258833	101869	62.151380	62.151380
109350462	102407	62.811136	62.811136
109442090	101582	61.799428	61.799428
109533716	100441	60.400205	60.400205
109625343	100260	60.178242	60.178242
109716973	101086	61.191177	61.191177
109808600	101993	62.303443	62.303443
109900228	102341	62.730200	62.730200
110083485	103918	64.664095	64.664095
110175112	105992	67.207468	67.207468
110266742	104393	65.246594	65.246594
110358372	103407	64.037449	64.037449
110450006	103143	63.713703	63.713703
110541631	102443	62.855283	62.855283
110633260	102119	62.457958	62.457958
110724888	102227	62.590400	62.590400
110999769	102677	63.142241	63.142241
111091397	102617	63.068662	63.068662
111183027	101846	62.123175	62.123175
111274655	101522	61.725849	61.725849
111366283	101481	61.675570	61.675570
111457911	101623	61.849707	61.849707
111549537	101507	61.707455	61.707455
111916046	105678	66.822406	66.822406
112007670	105145	66.168781	66.168781
112099296	103514	64.168665	64.168665
112190922	102841	63.343356	63.343356
112282547	102329	62.715484	62.715484
112465800	101056	61.154387	61.154387
112740681	102884	63.396087	63.396087
112832310	103314	63.923402	63.923402
112923938	102894	63.408351	63.408351
113015565	102600	63.047815	63.047815
113107194	102707	63.179030	63.179030
113198822	103066	63.619276	63.619276
113290448	103354	63.972455	63.972455
113565330	105602	66.729206	66.729206
113656956	106151	67.402452	67.402452
113748583	105943	67.147379	67.147379
113840212	104967	65.950497	65.950497
113931836	104720	65.647598	65.647598
114023459	104417	65.276025	65.276025
114115085	104147	64.944921	64.944921
114206710	103468	64.112254	64.112254
114481590	104247	65.067552	65.067552
114573218	104719	65.646372	65.646372
114664842	103762	64.472790	64.472790
114756470	103211	63.797092	63.797092
114848098	102850	63.354393	63.354393
114939730	102239	62.605116	62.605116
115031358	101981	62.288727	62.288727
115122986	102137	62.480032	62.480032
115306240	100415	60.368321	60.368321
115397866	100688	60.703104	60.703104
115489494	99835	59.657059	59.657059
115581119	98885	58.492062	58.492062
115672746	98618	58.164637	58.164637
115764372	98053	57.471770	57.471770
115855999	97864	57.239997	57.239997
115947628	96958	56.128957	56.128957
116222515	96847	55.992836	55.992836
116314144	97218	56.447799	56.447799
116405772	97347	56.605993	56.605993
116497399	97773	57.128402	57.128402
116589032	97537	56.838992	56.838992
116680652	97838	57.208113	57.208113
116772279	96225	55.230070	55.230070
117047161	95461	54.293167	54.293167
117138789	95359	54.168083	54.168083
117230415	94830	53.519363	53.519363
117322045	94586	53.220143	53.220143
117413672	94730	53.396732	53.396732
117505298	93993	52.492939	52.492939
117596926	92964	51.231063	51.231063
117688552	92747	50.964954	50.964954
117963434	93691	52.122593	52.122593
118055058	94873	53.572095	53.572095
118146686	93609	52.022035	52.022035
118238312	93370	51.728947	51.728947
118329940	92949	51.212669	51.212669
118421571	92213	50.310103	50.310103
118788101	94015	52.519918	52.519918
118879734	94411	53.005538	53.005538
118971368	93768	52.217019	52.217019
119063006	92894	51.145222	51.145222
119154635	93385	51.747341	51.747341
119246266	93435	51.808657	51.808657
119337900	93383	51.744889	51.744889
119704434	93189	51.506984	51.506984
119796061	92941	51.202858	51.202858
119887691	92408	50.549234	50.549234
119979320	92012	50.063614	50.063614
120070953	92549	50.722144	50.722144
120162585	92881	51.129280	51.129280
120254216	92776	51.000517	51.000517
120529110	93620	52.035525	52.035525
120620741	94234	52.788481	52.788481
120712372	93364	51.721589	51.721589
120804006	93280	51.618578	51.618578
120895635	94268	52.830176	52.830176
120987268	94156	52.692828	52.692828
121078898	94595	53.231180	53.231180
121445426	96543	55.620037	55.620037
121537056	96403	55.448354	55.448354
121628686	94903	53.608884	53.608884
121720318	94100	52.624155	52.624155
121811948	94291	52.858381	52.858381
121903580	94519	53.137980	53.137980
122270107	97344	56.602314	56.602314
122361737	98096	57.524501	57.524501
122453367	97833	57.201981	57.201981
122544998	97704	57.043787	57.043787
122636628	97846	57.217923	57.217923
122728262	98564	58.098416	58.098416
122819892	99047	58.690725	58.690725
123186421	98796	58.382920	58.382920
123278054	100189	60.091174	60.091174
123369684	99604	59.373781	59.373781
123461312	99218	58.900424	58.900424
123552941	98180	57.627512	57.627512
123644571	97395	56.664856	56.664856
124011096	98444	57.951258	57.951258
124102726	98277	57.746464	57.746464
124194356	97877	57.255939	57.255939
124285986	98424	57.926732	57.926732
124377620	98002	57.409228	57.409228
124469249	97892	57.274333	57.274333
124560879	98045	57.461959	57.461959
124652509	97956	57.352817	57.352817
124927407	96392	55.434864	55.434864
125019044	98240	57.701090	57.701090
125110667	97619	56.939550	56.939550
125202296	96453	55.509669	55.509669
125293932	96094	55.069423	55.069423
125385567	96207	55.207996	55.207996
125477202	97281	56.525056	56.525056
125568836	96309	55.333080	55.333080
125752105	89954	47.539862	47.539862
125843739	88759	46.074418	46.074418
125935372	88667	45.961597	45.961597
126027008	88758	46.073191	46.073191
126118695	90774	48.545438	48.545438
126210389	91601	49.559599	49.559599
126302082	90617	48.352907	48.352907
126393776	90376	48.057366	48.057366
126668855	92249	50.354250	50.354250
126760546	92071	50.135966	50.135966
126852240	92270	50.380002	50.380002
126943935	92259	50.366513	50.366513
127035629	92724	50.936748	50.936748
127127321	93660	52.084577	52.084577
127219017	93120	51.422368	51.422368
127310707	93311	51.656594	51.656594
127494093	93822	52.283240	52.283240
127585785	94331	52.907433	52.907433
127677477	94862	53.558605	53.558605
127769168	94723	53.388148	53.388148
127860859	94873	53.572095	53.572095
127952549	94605	53.243443	53.243443
128044241	94199	52.745560	52.745560
128410993	94392	52.982238	52.982238
128502679	94873	53.572095	53.572095
128594369	94585	53.218917	53.218917
128686057	94982	53.705763	53.705763
128777745	95884	54.811897	54.811897
128869433	96712	55.827284	55.827284
128961122	96177	55.171207	55.171207
129236184	95876	54.802087	54.802087
129327871	95866	54.789824	54.789824
129419561	95585	54.445230	54.445230
129511248	96348	55.380906	55.380906
129602935	96961	56.132636	56.132636
129694623	97861	57.236318	57.236318
129786311	97481	56.770319	56.770319
130153064	97535	56.836540	56.836540
130244749	98068	57.490165	57.490165
130336436	97311	56.561846	56.561846
130428122	96749	55.872658	55.872658
130519807	96347	55.379680	55.379680
130611491	96070	55.039991	55.039991
130978230	96157	55.146681	55.146681
131069911	97524	56.823050	56.823050
131161591	95842	54.760392	54.760392
131253275	95185	53.954704	53.954704
131344958	94648	53.296174	53.296174
131436641	94585	53.218917	53.218917
131528323	94512	53.129396	53.129396
131895066	95553	54.405988	54.405988
131986751	96153	55.141775	55.141775
132078436	95132	53.889710	53.889710
132170119	93704	52.138535	52.138535
132261801	93733	52.174098	52.174098
132353484	94171	52.711223	52.711223
132720218	96196	55.194507	55.194507
132811899	95662	54.539656	54.539656
132903581	94547	53.172317	53.172317
132995260	95500	54.340993	54.340993
133086940	95383	54.197514	54.197514
133178620	94992	53.718026	53.718026
133270301	95079	53.824715	53.824715
133637036	96286	55.304875	55.304875
133728710	96282	55.299970	55.299970
133820393	95878	54.804539	54.804539
133912075	95050	53.789152	53.789152
134003756	95122	53.877447	53.877447
134095439	95320	54.120257	54.120257
134462152	96281	55.298743	55.298743
134553832	96655	55.757384	55.757384
134645512	96195	55.193280	55.193280
134737191	96692	55.802758	55.802758
134828871	96503	55.570985	55.570985
134920549	97016	56.200083	56.200083
135012229	95753	54.651250	54.651250
135378941	96621	55.715690	55.715690
135470616	97514	56.810787	56.810787
135562296	95649	54.523714	54.523714
135653975	94528	53.149017	53.149017
135745652	94681	53.336643	53.336643
135837335	94361	52.944223	52.944223
135929018	94476	53.085249	53.085249
136204056	96114	55.093949	55.093949
136295731	96086	55.059612	55.059612
136387409	94976	53.698405	53.698405
136479086	93633	52.051467	52.051467
136570763	93729	52.169193	52.169193
136662438	93431	51.803752	51.803752
136754116	93710	52.145893	52.145893
137120826	95060	53.801415	53.801415
137212502	96762	55.888600	55.888600
137304178	94885	53.586811	53.586811
137395855	94426	53.023933	53.023933
137487530	94026	52.533408	52.533408
137579208	92493	50.653470	50.653470
137670885	92532	50.701296	50.701296
137945909	94412	53.006765	53.006765
138037583	94731	53.397958	53.397958
138129254	93208	51.530284	51.530284
138220928	93109	51.408879	51.408879
138312599	93958	52.450019	52.450019
138404270	94280	52.844891	52.844891
138495944	93872	52.344556	52.344556
138862647	94413	53.007991	53.007991
138954320	94679	53.334190	53.334190
139045994	94223	52.774991	52.774991
139137670	93786	52.239093	52.239093
139229344	94257	52.816686	52.816686
139321022	94209	52.757823	52.757823
139687726	97702	57.041334	57.041334
139779400	97617	56.937097	56.937097
139871076	96279	55.296291	55.296291
139962754	95294	54.088373	54.088373
140054430	95818	54.730961	54.730961
140146105	97407	56.679572	56.679572
140237779	96772	55.900863	55.900863
140604481	96733	55.853037	55.853037
140696154	98010	57.419038	57.419038
140787828	97982	57.384702	57.384702
140879505	96920	56.082357	56.082357
140971181	97346	56.604767	56.604767
141062857	96883	56.036984	56.036984
141429561	97698	57.036429	57.036429
141521236	97842	57.213018	57.213018
141612911	97291	56.537319	56.537319
141704586	97428	56.705324	56.705324
141796260	97703	57.042560	57.042560
141887934	97557	56.863519	56.863519
141979607	97477	56.765414	56.765414
142346300	98509	58.030969	58.030969
142437973	99045	58.688272	58.688272
142529646	97905	57.290276	57.290276
142621318	96641	55.740216	55.740216
142712991	96104	55.081686	55.081686
142804664	96082	55.054707	55.054707
142896338	96288	55.307328	55.307328
143171358	97894	57.276786	57.276786
143263034	98069	57.491391	57.491391
143354700	96577	55.661732	55.661732
143446370	95923	54.859723	54.859723
143538043	96079	55.051028	55.051028
143629711	96485	55.548911	55.548911
143721382	97104	56.307999	56.307999
144088073	96752	55.876337	55.876337
144179742	96527	55.600416	55.600416
144271412	94998	53.725384	53.725384
144363082	94758	53.431069	53.431069
144454752	95195	53.966968	53.966968
144546424	94769	53.444558	53.444558
144913108	95786	54.691718	54.691718
145004778	95999	54.952923	54.952923
145096448	95540	54.390046	54.390046
145188118	95370	54.181572	54.181572
145279788	95280	54.071204	54.071204
145371456	95288	54.081015	54.081015
145463124	95233	54.013567	54.013567
145829809	96174	55.167528	55.167528
145921480	95975	54.923492	54.923492
146013150	94967	53.687368	53.687368
146104818	94420	53.016575	53.016575
146196488	94292	52.859607	52.859607
146288158	94342	52.920923	52.920923
146379825	94058	52.572650	52.572650
146654838	94476	53.085249	53.085249
146746506	94573	53.204201	53.204201
146838172	93667	52.093161	52.093161
146929840	93672	52.099293	52.099293
147021508	93089	51.384353	51.384353
147113178	93101	51.399068	51.399068
